 0.0728, 0.4879, 1.5086,-0.9229, 0.4561, 2.7846, 0.4405,-0.3368, 0.8958,-0.9498
-0.1390,-0.2695, 0.5167,-0.7546,-0.1834,-2.2615,-0.9472,-1.3766, 2.1502, 1.0697
-0.1642, 0.6611, 0.1843, 0.9778, 1.3918,-0.0495, 0.3821,-0.2428,-2.1383, 0.3322
-0.2912, 0.5335, 0.9598,-1.2565, 0.2554,-0.6385, 1.3105,-2.3338,-1.6485,-0.5514
-1.1639, 0.3587, 0.1619, 0.3257,-0.6495, 1.3441,-0.5043, 0.7096,-0.6020, 1.8100
-0.2213,-2.1119,-0.0530, 0.9096, 0.4312, 0.3568, 0.3763,-0.3602, 0.3159,-1.2428
 1.2596,-2.2179,-1.3933,-0.0099,-0.8747,-1.5224,-0.4716,-0.3090, 0.0258, 0.4136
-2.8661, 0.5238, 0.1117, 0.0208,-1.1877, 0.3446, 0.3396,-0.4159, 1.3902,-0.6223
-0.6409, 0.3379,-1.8976,-1.7926, 1.4074,-1.2115,-0.1716,-0.3324,-0.7688,-0.4200
 0.2248,-0.2726, 1.1596,-0.3359,-0.5776, 0.3860, 0.0439, 1.4691,-2.4526, 0.9558
