-1.9785, 1.5645, 0.9854,-0.6066, 0.4131,-0.6883,-0.9777,-0.0656,-0.7140, 2.0210
 0.9203, 0.3999,-0.7138, 0.6671,-0.8582, 0.3071, 0.1046, 0.1678, 0.1077,-1.9066
 0.3160,-0.6657,-1.9548, 2.1285,-1.0931,-1.9431, 0.7280,-0.5069,-0.8777, 1.2538
 0.0765, 0.1558, 1.3439,-0.7500,-0.1335, 1.4712,-1.0337, 0.0260,-0.4883, 1.5262
-0.9398, 1.5861, 0.8170, 0.7615,-1.1529,-2.1280,-0.6360,-0.2293, 0.2967, 0.9865
 1.5599, 1.5108, 0.5816,-0.3333, 0.0434,-0.6840, 1.7366,-1.4822,-0.3810,-0.3129
 2.0063, 0.5832,-1.8900, 0.2780,-0.6914,-2.2904, 1.0961,-0.4931, 0.1077,-0.0362
-1.0001, 0.4408,-0.7953, 0.1597,-1.3770,-0.1600,-0.8700,-1.7513,-0.1703, 0.3497
-1.5939,-1.0370,-0.0668,-0.2041, 0.4599, 2.3146, 0.2059,-0.7941, 1.6405, 0.3455
-0.9399, 0.0961, 0.3775, 1.1220,-0.5629,-0.3624,-0.5986,-0.8659,-0.0770,-0.2241
