-0.0819,-0.9262,-1.5933, 2.9685, 2.1334, 1.1890, 0.6591,-1.1359, 1.8869,-0.2091
 0.3795,-0.6972,-1.9503,-0.2758,-0.3889, 0.7468,-0.2755, 0.8525,-0.3683, 0.6277
 0.4523, 0.2001,-0.7198, 2.0511, 1.4755, 1.4467,-0.5660,-0.8396,-0.0928,-0.6314
 0.6280, 0.7843,-1.3249, 1.3771,-0.0009,-0.1378, 1.0562, 1.0979, 1.4790,-1.1438
-1.0195,-2.4488, 0.1945,-0.3126,-0.1234,-0.1457, 0.7016, 0.9833,-0.9258,-0.7332
 1.2464,-1.1606, 0.2416, 0.5652,-1.1847, 1.4294, 0.6207, 0.2214,-0.2281, 0.3892
 1.3539,-0.6973,-1.5935,-0.4907, 1.5269, 0.4382,-1.7344,-1.1720,-0.1348, 0.5764
-1.4207,-1.6240,-2.3548,-0.3080, 1.7960,-0.1552, 0.5436,-1.0335, 0.4986, 0.2915
-0.2620,-0.6414, 0.6290, 0.4438,-0.0736, 0.3055, 1.3291, 2.5231, 1.2330, 0.3829
-1.1609,-0.7148, 0.4314,-0.0554,-0.5796, 0.5439, 0.0208, 0.3364, 0.7074,-2.7525
